Bug ID,Module,Issue Description,Severity,Reporter,Date Found,Status
PAY-01,Payment,Applying reward points discount deducts points even if payment fails.,Critical,Efaj,01 Mar 2026,Fixed
PAY-02,Payment,Payment confirmation webhook fails during network dips.,Critical,Aronno,04 Dec 2025,Fixed
PAY-03,Payment,Checkout page displays NaN if session storage is cleared.,Medium,Aronno,22 Jan 2026,Fixed
PAY-04,Payment,No validation on phone number input at checkout.,Medium,Efaj,16 Dec 2025,Fixed
PAY-05,Payment,Submitting payment twice invokes double-billing.,Critical,Shazid,11 Dec 2025,Fixed
PAY-06,Payment,Email receipt is not dispatched immediately after payment.,Low,Nirjan,21 Feb 2026,Fixed
PAY-07,Payment,Total amount text at checkout doesnt update after applying promo.,Medium,Nirjan,14 Jan 2026,Fixed
PAY-08,Payment,Logos are squished on the payment selection modal.,Minor,Efaj,21 Feb 2026,Fixed
PAY-09,Payment,Payment timer resets if the user hits the browser back button.,High,Efaj,12 Feb 2026,Fixed
PAY-10,Payment,Promo code remains applied even after user removes all selected seats.,Medium,Efaj,27 Feb 2026,Fixed
PAY-11,Payment,Payment gateway redirect occasionally fails when browser popup blocker is enabled.,High,Shazid,18 Jan 2026,Fixed
PROF-01,Profile,Total ticket price in My Trips does not update after a partial refund.,High,Efaj,01 Jan 2026,Fixed
PROF-02,Profile,E-Ticket PDF download generates blank pages for long names.,High,Shazid,28 Nov 2025,Fixed
PROF-03,Profile,Cancel Bookings button remains active 1 hour before departure.,Critical,Efaj,05 Feb 2026,Fixed
PROF-04,Profile,Profile avatar placeholder shows ? instead of name initials.,Low,Efaj,29 Dec 2025,Fixed
PROF-05,Profile,Reward points progress bar exceeds 100% width.,Low,Arefin,21 Dec 2025,Fixed
PROF-06,Profile,Editing phone number accepts 9 digits instead of 11.,Medium,Ayon,02 Jan 2026,Fixed
PROF-07,Profile,Canceling a single seat releases all seats in the same booking.,Critical,Ayon,08 Mar 2026,Fixed
PROF-08,Profile,Print Ticket button is missing if the trip originates from Chittagong.,Medium,Efaj,06 Jan 2026,Fixed
PROF-09,Profile,Editing profile name forces a hard refresh of the application state.,Low,Shazid,11 Dec 2025,Fixed
PROF-10,Profile,My Trips page does not update trip status immediately after refund approval.,Medium,Ayon,05 Mar 2026,Fixed
PROF-11,Profile,Trip history filters reset when navigating between pages.,Low,Arefin,12 Feb 2026,Fixed
REF-01,Refund,Processing partial refund doesnt release the cancelled seat immediately.,Critical,Shazid,04 Mar 2026,Fixed
REF-02,Refund,Approving a refund in admin marks status but hook isnt fired.,High,Arefin,11 Feb 2026,Fixed
REF-03,Refund,Cause dropdown in cancellation modal resets to default before submission.,Low,Arefin,03 Jan 2026,Fixed
REF-04,Refund,Admin refund table truncated cause messages resulting in poor context.,Low,Arefin,29 Dec 2025,Fixed
REF-05,Refund,Deducted reward points for partially refunded trips have rounding errors.,Medium,Ayon,23 Dec 2025,Fixed
REF-06,Refund,Green Approve button doesnt have a hover state effect.,Minor,Arefin,09 Jan 2026,Fixed
REF-07,Refund,Rejecting a refund request bypasses the mandatory reason field.,Medium,Nirjan,27 Nov 2025,Fixed
REF-08,Refund,Partial refund calculation fails when multiple promo codes were applied.,Critical,Ayon,06 Mar 2026,Fixed
REF-09,Refund,Refund request status email not sent to user after admin approval.,Medium,Arefin,21 Feb 2026,Fixed
REP-01,Report Generation,Revenue report incorrectly groups trips by booking date instead of departure date.,High,Shazid,04 Mar 2026,Fixed
REP-02,Report Generation,Admin analytics dashboard charts do not update until manual refresh.,Medium,Efaj,22 Feb 2026,Fixed
SEAT-01,Seat Selection,Seat layout resets to default empty state if the user refreshes.,High,Nirjan,03 Mar 2026,Fixed
SEAT-02,Seat Selection,Total value of selected tickets is blank until a 3rd seat is added.,High,Nirjan,23 Feb 2026,Fixed
SEAT-03,Seat Selection,Driver Seat is occasionally selectable due to mapping mismatch.,Medium,Ayon,30 Dec 2025,Fixed
SEAT-04,Seat Selection,Seat locking mechanism (HELD) expires too quickly.,High,Ayon,28 Nov 2025,Fixed
SEAT-05,Seat Selection,Selected seats remain highlighted after navigating back to search.,Low,Ayon,19 Feb 2026,Fixed
SEAT-06,Seat Selection,"UI glitch: Seat labels (A1, B1) are misaligned on smaller screens.",Low,Ayon,22 Feb 2026,Fixed
SEAT-07,Seat Selection,Max seat limit (4) can be bypassed by opening multiple tabs.,Critical,Nirjan,04 Jan 2026,Fixed
SEAT-08,Seat Selection,Booked seats colors are too light for accessibility.,Medium,Arefin,24 Nov 2025,Fixed
SEAT-09,Seat Selection,Hovering over an empty seat shows the wrong price tooltip.,Low,Shazid,02 Feb 2026,Fixed
SEAT-10,Seat Selection,Deselecting the last seat does not disable Continue button.,Medium,Shazid,28 Nov 2025,Fixed
SEAT-11,Seat Selection,Selecting exactly 4 seats causes the summary modal to jump out of viewport.,Low,Nirjan,19 Feb 2026,Fixed
SEAT-12,Seat Selection,Seat availability does not refresh when another user books the same seat simultaneously.,Critical,Nirjan,07 Mar 2026,Fixed
SEAT-13,Seat Selection,Seat tooltip does not display bus type (AC/Non-AC) for scraped Shohoz buses.,Low,Aronno,13 Feb 2026,Fixed
SRCH-01,Search,Trip search returns empty if user searches during maintenance window.,Critical,Nirjan,16 Dec 2025,Fixed
SRCH-02,Search,Available Seats count sometimes shows negative values.,High,Efaj,22 Dec 2025,Fixed
SRCH-03,Search,Search page loads infinitely during high traffic.,High,Aronno,03 Dec 2025,Fixed
SRCH-04,Search,Date picker allows selecting past dates for trip departure.,Medium,Aronno,04 Dec 2025,Fixed
SRCH-05,Search,From and To dropdowns glitch and swap values when typing fast.,Low,Aronno,10 Dec 2025,Fixed
SRCH-06,Search,Search results do not sort by price accurately if base fare has decimals.,Low,Efaj,26 Feb 2026,Fixed
SRCH-07,Search,Same trip appears duplicated in search results if cache isnt cleared.,Medium,Efaj,22 Jan 2026,Fixed
SRCH-08,Search,Mocked seats (greyed out) shift positions randomly on refresh.,Low,Ayon,01 Dec 2025,Fixed
SRCH-09,Search,Swapping From and To clears the selected date field.,Low,Ayon,17 Dec 2025,Fixed
SRCH-10,Search,Shohoz API timeout response fails to trigger fallback local data.,High,Shazid,04 Mar 2026,Fixed
SRCH-11,Search,Shohoz scraping occasionally returns outdated seat availability during peak hours.,High,Shazid,05 Mar 2026,Fixed
SRCH-12,Search,Search results briefly display incorrect operator logos before caching updates.,Low,Ayon,18 Feb 2026,Fixed
UI-01,UI/UX,"Footer links (Terms of Service, Privacy Policy) lead to 404 pages.",Medium,Efaj,04 Jan 2026,Fixed
UI-02,UI/UX,Main navigation header overlaps trip search form on tablets.,Low,Ayon,09 Mar 2026,Fixed
UI-03,UI/UX,Loading spinners do not display over tables; screen freezes instead.,Low,Ayon,07 Feb 2026,Fixed
UI-04,UI/UX,Toast notifications stack vertically and obscure the checkout form.,Low,Shazid,08 Jan 2026,Fixed
UI-05,UI/UX,Logo is slightly pixelated on High-DPI (Retina) displays.,Minor,Shazid,28 Nov 2025,Fixed
UI-06,UI/UX,404 Error page has a broken Return Home link.,Low,Aronno,24 Nov 2025,Fixed
UI-07,UI/UX,Dark mode toggle briefly flashes white before applying the theme.,Low,Arefin,30 Dec 2025,Fixed
